Code géographique,Elu,Orientation
01001,Emmanuel,C
01002,Emmanuel,C
01004,Marine,D
01005,Marine,D
01006,Emmanuel,C
01007,Marine,D
01008,Marine,D
01009,Emmanuel,C
01010,Marine,D
01011,Marine,D
01012,Jean-Luc,G
01013,Marine,D
01014,Jean-Luc,G
01015,Emmanuel,C
01016,Marine,D
01017,Marine,D
01019,Marine,D
01021,Marine,D
01022,Marine,D
01023,Marine,D
01024,Marine,D
01025,Marine,D
01026,Emmanuel,C
01027,Marine,D
01028,Marine,D
01029,Marine,D
01030,Marine,D
01031,Marine,D
01032,Marine,D
01033,Jean-Luc,G
01034,Emmanuel,C
01035,Jean-Luc,G
01036,Emmanuel,C
01037,Marine,D
01038,Emmanuel,C
01039,Marine,D
01040,Marine,D
01041,Marine,D
01042,Emmanuel,C
01043,Emmanuel,C
01044,Marine,D
01045,Marine,D
01046,Marine,D
01047,Marine,D
01049,Emmanuel,C
01050,Marine,D
01051,Marine,D
01052,Emmanuel,C
01053,Emmanuel,C
01054,Marine,D
01056,Marine,D
01057,Marine,D
01058,Marine,D
01060,Emmanuel,C
01061,Marine,D
01062,Emmanuel,C
01063,Emmanuel,C
01064,Marine,D
01065,Emmanuel,C
01066,Jean-Luc,G
01067,Marine,D
01068,Marine,D
01069,Marine,D
01071,Emmanuel,C
01072,Emmanuel,C
01073,Emmanuel,C
01074,Marine,D
01075,Emmanuel,C
01076,Marine,D
01077,Emmanuel,C
01078,Emmanuel,C
01079,Emmanuel,C
01080,Marine,D
01081,Marine,D
01082,Marine,D
01083,Marine,D
01084,Marine,D
01085,Marine,D
01087,Emmanuel,C
01088,Marine,D
01089,Marine,D
01090,Marine,D
01092,Marine,D
01093,Emmanuel,C
01094,Marine,D
01095,Marine,D
01096,Marine,D
01098,Marine,D
01099,Marine,D
01100,Marine,D
01101,Marine,D
01102,Marine,D
01103,Emmanuel,C
01104,Emmanuel,C
01105,Emmanuel,C
01106,Marine,D
01107,Marine,D
01108,Marine,D
01109,Emmanuel,C
01110,Jean-Luc,G
01111,Emmanuel,C
01112,Marine,D
01113,Emmanuel,C
01114,Marine,D
01115,Marine,D
01116,Marine,D
01117,Emmanuel,C
01118,Marine,D
01121,Emmanuel,C
01123,Emmanuel,C
01124,Marine,D
01125,Marine,D
01127,Emmanuel,C
01128,Marine,D
01129,Marine,D
01130,Marine,D
01133,Marine,D
01134,Marine,D
01135,Emmanuel,C
01136,Marine,D
01138,Marine,D
01139,Marine,D
01140,Marine,D
01141,Emmanuel,C
01142,Emmanuel,C
01143,Emmanuel,C
01145,Marine,D
01146,Marine,D
01147,Marine,D
01148,Marine,D
01149,Marine,D
01150,Jean-Luc,G
01151,Marine,D
01152,Marine,D
01153,Emmanuel,C
01155,Marine,D
01156,Marine,D
01157,Emmanuel,C
01158,Emmanuel,C
01159,Emmanuel,C
01160,Emmanuel,C
01162,Marine,D
01163,Marine,D
01165,Marine,D
01166,Emmanuel,C
01167,Marine,D
01169,Marine,D
01170,Marine,D
01171,Marine,D
01173,Emmanuel,C
01174,Emmanuel,C
01175,Marine,D
01177,Jean-Luc,G
01179,Marine,D
01180,Emmanuel,C
01181,Marine,D
01183,Marine,D
01184,Marine,D
01185,Marine,D
01187,Emmanuel,C
01188,Marine,D
01189,Marine,D
01190,Marine,D
01191,Emmanuel,C
01192,Marine,D
01193,Marine,D
01194,Emmanuel,C
01195,Emmanuel,C
01196,Marine,D
01197,Jean-Luc,G
01198,Emmanuel,C
01199,Marine,D
01200,Jean-Luc,G
01202,Marine,D
01203,Emmanuel,C
01204,Marine,D
01206,Marine,D
01207,Marine,D
01208,Emmanuel,C
01209,Marine,D
01210,Emmanuel,C
01211,Marine,D
01212,Marine,D
01213,Marine,D
01214,Marine,D
01215,Marine,D
01216,Marine,D
01219,Marine,D
01224,Marine,D
01225,Marine,D
01227,Marine,D
01228,Marine,D
01229,Marine,D
01230,Marine,D
01231,Emmanuel,C
01232,Marine,D
01233,Marine,D
01234,Marine,D
01235,Marine,D
01236,Emmanuel,C
01237,Marine,D
01238,Emmanuel,C
01239,Marine,D
01240,Marine,D
01241,Emmanuel,C
01242,Jean-Luc,G
01243,Emmanuel,C
01244,Emmanuel,C
01245,Emmanuel,C
01246,Emmanuel,C
01247,Emmanuel,C
01248,Emmanuel,C
01249,Emmanuel,C
01250,Emmanuel,C
01252,Emmanuel,C
01254,Emmanuel,C
01255,Marine,D
01257,Emmanuel,C
01258,Marine,D
01259,Emmanuel,C
01260,Emmanuel,C
01261,Emmanuel,C
01262,Emmanuel,C
01263,Emmanuel,C
01264,Marine,D
01265,Marine,D
01266,Marine,D
01267,Marine,D
01268,Marine,D
01269,Marine,D
01272,Marine,D
01273,Marine,D
01274,Marine,D
01275,Emmanuel,C
01276,Marine,D
01277,Emmanuel,C
01279,Marine,D
01280,Emmanuel,C
01281,Emmanuel,C
01282,Marine,D
01283,Jean-Luc,G
01284,Marine,D
01285,Emmanuel,C
01286,Emmanuel,C
01288,Emmanuel,C
01289,Emmanuel,C
01290,Emmanuel,C
01291,Emmanuel,C
01293,Marine,D
01294,Marine,D
01295,Marine,D
01296,Marine,D
01297,Marine,D
01298,Marine,D
01299,Marine,D
01301,Emmanuel,C
01302,Jean-Luc,G
01303,Marine,D
01304,Marine,D
01305,Emmanuel,C
01306,Marine,D
01307,Emmanuel,C
01308,Emmanuel,C
01309,Marine,D
01310,Marine,D
01311,Marine,D
01313,Emmanuel,C
01314,Marine,D
01317,Marine,D
01318,Emmanuel,C
01319,Marine,D
01320,Emmanuel,C
01321,Emmanuel,C
01322,Emmanuel,C
01323,Marine,D
01325,Marine,D
01328,Emmanuel,C
01329,Emmanuel,C
01330,Jean-Luc,G
01331,Emmanuel,C
01332,Marine,D
01333,Marine,D
01334,Marine,D
01335,Marine,D
01336,Emmanuel,C
01337,Emmanuel,C
01338,Marine,D
01339,Emmanuel,C
01342,Marine,D
01343,Marine,D
01344,Emmanuel,C
01345,Marine,D
01346,Marine,D
01347,Emmanuel,C
01348,Marine,D
01349,Emmanuel,C
01350,Emmanuel,C
01351,Marine,D
01352,Marine,D
01353,Emmanuel,C
01354,Emmanuel,C
01355,Marine,D
01356,Emmanuel,C
01357,Marine,D
01358,Marine,D
01359,Marine,D
01360,Emmanuel,C
01361,Marine,D
01362,Marine,D
01363,Marine,D
01364,Marine,D
01365,Emmanuel,C
01366,Marine,D
01367,Marine,D
01368,Marine,D
01369,Emmanuel,C
01370,Emmanuel,C
01371,Marine,D
01372,Marine,D
01373,Marine,D
01374,Marine,D
01375,Marine,D
01376,Emmanuel,C
01378,Marine,D
01379,Marine,D
01380,Marine,D
01381,Marine,D
01382,Marine,D
01383,Marine,D
01384,Marine,D
01385,Emmanuel,C
01386,Emmanuel,C
01387,Marine,D
01388,Marine,D
01389,Marine,D
01390,Marine,D
01391,Marine,D
01392,Marine,D
01393,Marine,D
01396,Marine,D
01397,Emmanuel,C
01398,Marine,D
01399,Emmanuel,C
01400,Emmanuel,C
01401,Emmanuel,C
01402,Marine,D
01403,Marine,D
01404,Marine,D
01405,Marine,D
01406,Marine,D
01407,Emmanuel,C
01408,Marine,D
01410,Marine,D
01411,Marine,D
01412,Emmanuel,C
01415,Marine,D
01416,Marine,D
01418,Emmanuel,C
01419,Emmanuel,C
01420,Marine,D
01421,Marine,D
01422,Emmanuel,C
01423,Emmanuel,C
01424,Emmanuel,C
01425,Marine,D
01426,Marine,D
01427,Emmanuel,C
01428,Emmanuel,C
01429,Marine,D
01430,Marine,D
01431,Marine,D
01432,Marine,D
01433,Marine,D
01434,Marine,D
01435,Emmanuel,C
01436,Emmanuel,C
01437,Marine,D
01439,Emmanuel,C
01441,Marine,D
01443,Marine,D
01444,Marine,D
01445,Marine,D
01446,Marine,D
01447,Marine,D
01448,Marine,D
01449,Marine,D
01450,Marine,D
01451,Emmanuel,C
01452,Marine,D
01453,Marine,D
01454,Marine,D
01456,Emmanuel,C
01457,Emmanuel,C
02001,Marine,D
02002,Marine,D
02003,Marine,D
02004,Marine,D
02005,Marine,D
02006,Marine,D
02007,Marine,D
02008,Marine,D
02009,Marine,D
02010,Marine,D
02011,Marine,D
02012,Marine,D
02013,Marine,D
02014,Marine,D
02015,Marine,D
02016,Marine,D
02017,Marine,D
02018,Marine,D
02019,Marine,D
02020,Marine,D
02021,Marine,D
02022,Marine,D
02023,Marine,D
02024,Marine,D
02025,Marine,D
02027,Marine,D
02028,Marine,D
02029,Marine,D
02030,Marine,D
02031,Marine,D
02032,Marine,D
02033,Marine,D
02034,Marine,D
02035,Marine,D
02036,Marine,D
02037,Marine,D
02038,Marine,D
02039,Marine,D
02040,Marine,D
02041,Marine,D
02042,Marine,D
02043,Marine,D
02044,Marine,D
02046,Marine,D
02047,Marine,D
02048,Marine,D
02049,Marine,D
02050,Marine,D
02051,Marine,D
02052,Marine,D
02053,Marine,D
02054,Marine,D
02055,Marine,D
02056,Marine,D
02057,Marine,D
02058,Marine,D
02059,Marine,D
02060,Marine,D
02061,Marine,D
02062,Marine,D
02063,Marine,D
02064,Marine,D
02065,Marine,D
02066,Marine,D
02067,Marine,D
02068,Marine,D
02069,Marine,D
02070,Marine,D
02071,Marine,D
02072,Marine,D
02073,Marine,D
02074,Marine,D
02075,Marine,D
02076,Marine,D
02077,Marine,D
02078,Nathalie,G
02079,Marine,D
02080,Emmanuel,C
02081,Marine,D
02082,Marine,D
02083,Marine,D
02084,Marine,D
02085,Marine,D
02086,Marine,D
02087,Marine,D
02088,Marine,D
02089,Marine,D
02090,Marine,D
02091,Emmanuel,C
02093,Nathalie,G
02094,Marine,D
02095,Marine,D
02096,Marine,D
02097,Marine,D
02098,Marine,D
02099,Marine,D
02100,Marine,D
02101,Marine,D
02102,Emmanuel,C
02103,Marine,D
02104,Emmanuel,C
02105,Marine,D
02106,Marine,D
02107,Marine,D
02108,Emmanuel,C
02109,Marine,D
02110,Marine,D
02111,Marine,D
02112,Marine,D
02114,Marine,D
02115,Marine,D
02116,Marine,D
02117,Marine,D
02118,Marine,D
02119,Marine,D
02120,Marine,D
02121,Marine,D
02122,Emmanuel,C
02123,Marine,D
02124,Marine,D
02125,Jean-Luc,G
02126,Marine,D
02127,Marine,D
02128,Marine,D
02129,Emmanuel,C
02130,Marine,D
02131,Marine,D
02132,Emmanuel,C
02133,Marine,D
02134,Marine,D
02135,Marine,D
02136,Marine,D
02137,Marine,D
02138,Marine,D
02139,Marine,D
02140,Marine,D
02141,Marine,D
02142,Marine,D
02143,Marine,D
02144,Marine,D
02145,Marine,D
02146,Emmanuel,C
02148,Marine,D
02149,Emmanuel,C
02150,Marine,D
02151,Emmanuel,C
02152,Marine,D
02153,Marine,D
02154,Marine,D
02155,Emmanuel,C
02156,Marine,D
02157,Marine,D
02158,Marine,D
02159,Marine,D
02160,Marine,D
02162,Marine,D
02163,Marine,D
02164,Marine,D
02165,Marine,D
02166,Marine,D
02167,Marine,D
02168,Jean-Luc,G
02169,Marine,D
02170,Marine,D
02171,Marine,D
02172,Marine,D
02173,Marine,D
02174,Marine,D
02175,Marine,D
02176,Marine,D
02177,Emmanuel,C
02178,Marine,D
02179,Marine,D
02180,Marine,D
02181,Marine,D
02182,Marine,D
02183,Marine,D
02184,Marine,D
02185,Marine,D
02186,Marine,D
02187,Emmanuel,C
02188,Marine,D
02189,Marine,D
02190,Marine,D
02191,Marine,D
02192,Marine,D
02193,Marine,D
02194,Marine,D
02195,Marine,D
02196,Marine,D
02197,Marine,D
02198,Marine,D
02199,Marine,D
02200,Marine,D
02201,Marine,D
02203,Marine,D
02204,Emmanuel,C
02205,Marine,D
02206,Emmanuel,C
02207,Marine,D
02208,Marine,D
02209,Marine,D
02210,Marine,D
02211,Marine,D
02212,Marine,D
02213,Marine,D
02214,Marine,D
02215,Marine,D
02216,Marine,D
02217,Marine,D
02218,Marine,D
02219,Marine,D
02220,Marine,D
02221,Marine,D
02222,Emmanuel,C
02223,Marine,D
02224,Marine,D
02225,Marine,D
02226,Marine,D
02227,Marine,D
02228,Marine,D
02229,Emmanuel,C
02230,Marine,D
02231,Marine,D
02232,Marine,D
02233,Marine,D
02234,Marine,D
02235,Marine,D
02236,Marine,D
02237,Marine,D
02238,Marine,D
02239,Marine,D
02240,Marine,D
02241,Marine,D
02242,Marine,D
02243,Marine,D
02244,Marine,D
02245,Marine,D
02246,Marine,D
02248,Marine,D
02249,Marine,D
02250,Marine,D
02251,Éric,D
02252,Marine,D
02253,Marine,D
02254,Emmanuel,C
02255,Marine,D
02256,Marine,D
02257,Marine,D
02258,Marine,D
02259,Marine,D
02260,Marine,D
02261,Marine,D
02262,Marine,D
02263,Marine,D
02264,Marine,D
02265,Marine,D
02266,Marine,D
02267,Marine,D
02268,Marine,D
02269,Marine,D
02270,Marine,D
02271,Marine,D
02272,Marine,D
02273,Marine,D
02274,Marine,D
02275,Marine,D
02276,Marine,D
02277,Marine,D
02278,Emmanuel,C
02279,Marine,D
02280,Marine,D
02281,Marine,D
02282,Marine,D
02283,Marine,D
02284,Marine,D
02286,Marine,D
02287,Marine,D
02288,Marine,D
02289,Marine,D
02290,Marine,D
02291,Marine,D
02292,Marine,D
02293,Marine,D
02294,Marine,D
02295,Marine,D
02296,Marine,D
02297,Marine,D
02298,Marine,D
02299,Marine,D
02302,Marine,D
02303,Emmanuel,C
02304,Marine,D
02305,Marine,D
02306,Marine,D
02307,Marine,D
02308,Marine,D
02309,Marine,D
02310,Marine,D
02311,Marine,D
02312,Marine,D
02313,Marine,D
02315,Marine,D
02316,Marine,D
02317,Marine,D
02318,Marine,D
02319,Marine,D
02320,Marine,D
02321,Marine,D
02322,Marine,D
02323,Marine,D
02324,Marine,D
02326,Marine,D
02327,Marine,D
02328,Marine,D
02329,Marine,D
02330,Emmanuel,C
02331,Marine,D
02332,Marine,D
02333,Marine,D
02334,Marine,D
02335,Marine,D
02336,Marine,D
02337,Marine,D
02338,Marine,D
02339,Marine,D
02340,Marine,D
02341,Marine,D
02342,Marine,D
02343,Marine,D
02345,Marine,D
02346,Marine,D
02347,Marine,D
02349,Marine,D
02350,Marine,D
02351,Marine,D
02352,Marine,D
02353,Marine,D
02354,Marine,D
02355,Marine,D
02356,Marine,D
02357,Emmanuel,C
02358,Marine,D
02359,Marine,D
02360,Marine,D
02361,Marine,D
02362,Marine,D
02363,Marine,D
02364,Marine,D
02366,Marine,D
02367,Marine,D
02368,Marine,D
02369,Marine,D
02370,Marine,D
02371,Marine,D
02372,Marine,D
02373,Marine,D
02374,Marine,D
