Code géographique,Elu,Orientation
01001,Emmanuel,C
01002,Emmanuel,C
01004,Marine,EXD
01005,Marine,EXD
01006,Emmanuel,C
01007,Marine,EXD
01008,Marine,EXD
01009,Emmanuel,C
01010,Marine,EXD
01011,Marine,EXD
01012,Jean-Luc,EXG
01013,Marine,EXD
01014,Jean-Luc,EXG
01015,Emmanuel,C
01016,Marine,EXD
01017,Marine,EXD
01019,Marine,EXD
01021,Marine,EXD
01022,Marine,EXD
01023,Marine,EXD
01024,Marine,EXD
01025,Marine,EXD
01026,Emmanuel,C
01027,Marine,EXD
01028,Marine,EXD
01029,Marine,EXD
01030,Marine,EXD
01031,Marine,EXD
01032,Marine,EXD
01033,Jean-Luc,EXG
01034,Emmanuel,C
01035,Jean-Luc,EXG
01036,Emmanuel,C
01037,Marine,EXD
01038,Emmanuel,C
01039,Marine,EXD
01040,Marine,EXD
01041,Marine,EXD
01042,Emmanuel,C
01043,Emmanuel,C
01044,Marine,EXD
01045,Marine,EXD
01046,Marine,EXD
01047,Marine,EXD
01049,Emmanuel,C
01050,Marine,EXD
01051,Marine,EXD
01052,Emmanuel,C
01053,Emmanuel,C
01054,Marine,EXD
01056,Marine,EXD
01057,Marine,EXD
01058,Marine,EXD
01060,Emmanuel,C
01061,Marine,EXD
01062,Emmanuel,C
01063,Emmanuel,C
01064,Marine,EXD
01065,Emmanuel,C
01066,Jean-Luc,EXG
01067,Marine,EXD
01068,Marine,EXD
01069,Marine,EXD
01071,Emmanuel,C
01072,Emmanuel,C
01073,Emmanuel,C
01074,Marine,EXD
01075,Emmanuel,C
01076,Marine,EXD
01077,Emmanuel,C
01078,Emmanuel,C
01079,Emmanuel,C
01080,Marine,EXD
01081,Marine,EXD
01082,Marine,EXD
01083,Marine,EXD
01084,Marine,EXD
01085,Marine,EXD
01087,Emmanuel,C
01088,Marine,EXD
01089,Marine,EXD
01090,Marine,EXD
01092,Marine,EXD
01093,Emmanuel,C
01094,Marine,EXD
01095,Marine,EXD
01096,Marine,EXD
01098,Marine,EXD
01099,Marine,EXD
01100,Marine,EXD
01101,Marine,EXD
01102,Marine,EXD
01103,Emmanuel,C
01104,Emmanuel,C
01105,Emmanuel,C
01106,Marine,EXD
01107,Marine,EXD
01108,Marine,EXD
01109,Emmanuel,C
01110,Jean-Luc,EXG
01111,Emmanuel,C
01112,Marine,EXD
01113,Emmanuel,C
01114,Marine,EXD
01115,Marine,EXD
01116,Marine,EXD
01117,Emmanuel,C
01118,Marine,EXD
01121,Emmanuel,C
01123,Emmanuel,C
01124,Marine,EXD
01125,Marine,EXD
01127,Emmanuel,C
01128,Marine,EXD
01129,Marine,EXD
01130,Marine,EXD
01133,Marine,EXD
01134,Marine,EXD
01135,Emmanuel,C
01136,Marine,EXD
01138,Marine,EXD
01139,Marine,EXD
01140,Marine,EXD
01141,Emmanuel,C
01142,Emmanuel,C
01143,Emmanuel,C
01145,Marine,EXD
01146,Marine,EXD
01147,Marine,EXD
01148,Marine,EXD
01149,Marine,EXD
01150,Jean-Luc,EXG
01151,Marine,EXD
01152,Marine,EXD
01153,Emmanuel,C
01155,Marine,EXD
01156,Marine,EXD
01157,Emmanuel,C
01158,Emmanuel,C
01159,Emmanuel,C
01160,Emmanuel,C
01162,Marine,EXD
01163,Marine,EXD
01165,Marine,EXD
01166,Emmanuel,C
01167,Marine,EXD
01169,Marine,EXD
01170,Marine,EXD
01171,Marine,EXD
01173,Emmanuel,C
01174,Emmanuel,C
01175,Marine,EXD
01177,Jean-Luc,EXG
01179,Marine,EXD
01180,Emmanuel,C
01181,Marine,EXD
01183,Marine,EXD
01184,Marine,EXD
01185,Marine,EXD
01187,Emmanuel,C
01188,Marine,EXD
01189,Marine,EXD
01190,Marine,EXD
01191,Emmanuel,C
01192,Marine,EXD
01193,Marine,EXD
01194,Emmanuel,C
01195,Emmanuel,C
01196,Marine,EXD
01197,Jean-Luc,EXG
01198,Emmanuel,C
01199,Marine,EXD
01200,Jean-Luc,EXG
01202,Marine,EXD
01203,Emmanuel,C
01204,Marine,EXD
01206,Marine,EXD
01207,Marine,EXD
01208,Emmanuel,C
01209,Marine,EXD
01210,Emmanuel,C
01211,Marine,EXD
01212,Marine,EXD
01213,Marine,EXD
01214,Marine,EXD
01215,Marine,EXD
01216,Marine,EXD
01219,Marine,EXD
01224,Marine,EXD
01225,Marine,EXD
01227,Marine,EXD
01228,Marine,EXD
01229,Marine,EXD
01230,Marine,EXD
01231,Emmanuel,C
01232,Marine,EXD
01233,Marine,EXD
01234,Marine,EXD
01235,Marine,EXD
01236,Emmanuel,C
01237,Marine,EXD
01238,Emmanuel,C
01239,Marine,EXD
01240,Marine,EXD
01241,Emmanuel,C
01242,Jean-Luc,EXG
01243,Emmanuel,C
01244,Emmanuel,C
01245,Emmanuel,C
01246,Emmanuel,C
01247,Emmanuel,C
01248,Emmanuel,C
01249,Emmanuel,C
01250,Emmanuel,C
01252,Emmanuel,C
01254,Emmanuel,C
01255,Marine,EXD
01257,Emmanuel,C
01258,Marine,EXD
01259,Emmanuel,C
01260,Emmanuel,C
01261,Emmanuel,C
01262,Emmanuel,C
01263,Emmanuel,C
01264,Marine,EXD
01265,Marine,EXD
01266,Marine,EXD
01267,Marine,EXD
01268,Marine,EXD
01269,Marine,EXD
01272,Marine,EXD
01273,Marine,EXD
01274,Marine,EXD
01275,Emmanuel,C
01276,Marine,EXD
01277,Emmanuel,C
01279,Marine,EXD
01280,Emmanuel,C
01281,Emmanuel,C
01282,Marine,EXD
01283,Jean-Luc,EXG
01284,Marine,EXD
01285,Emmanuel,C
01286,Emmanuel,C
01288,Emmanuel,C
01289,Emmanuel,C
01290,Emmanuel,C
01291,Emmanuel,C
01293,Marine,EXD
01294,Marine,EXD
01295,Marine,EXD
01296,Marine,EXD
01297,Marine,EXD
01298,Marine,EXD
01299,Marine,EXD
01301,Emmanuel,C
01302,Jean-Luc,EXG
01303,Marine,EXD
01304,Marine,EXD
01305,Emmanuel,C
01306,Marine,EXD
01307,Emmanuel,C
01308,Emmanuel,C
01309,Marine,EXD
01310,Marine,EXD
01311,Marine,EXD
01313,Emmanuel,C
01314,Marine,EXD
01317,Marine,EXD
01318,Emmanuel,C
01319,Marine,EXD
01320,Emmanuel,C
01321,Emmanuel,C
01322,Emmanuel,C
01323,Marine,EXD
01325,Marine,EXD
01328,Emmanuel,C
01329,Emmanuel,C
01330,Jean-Luc,EXG
01331,Emmanuel,C
01332,Marine,EXD
01333,Marine,EXD
01334,Marine,EXD
01335,Marine,EXD
01336,Emmanuel,C
01337,Emmanuel,C
01338,Marine,EXD
01339,Emmanuel,C
01342,Marine,EXD
01343,Marine,EXD
01344,Emmanuel,C
01345,Marine,EXD
01346,Marine,EXD
01347,Emmanuel,C
01348,Marine,EXD
01349,Emmanuel,C
01350,Emmanuel,C
01351,Marine,EXD
01352,Marine,EXD
01353,Emmanuel,C
01354,Emmanuel,C
01355,Marine,EXD
01356,Emmanuel,C
01357,Marine,EXD
01358,Marine,EXD
01359,Marine,EXD
01360,Emmanuel,C
01361,Marine,EXD
01362,Marine,EXD
01363,Marine,EXD
01364,Marine,EXD
01365,Emmanuel,C
01366,Marine,EXD
01367,Marine,EXD
01368,Marine,EXD
01369,Emmanuel,C
01370,Emmanuel,C
01371,Marine,EXD
01372,Marine,EXD
01373,Marine,EXD
01374,Marine,EXD
01375,Marine,EXD
01376,Emmanuel,C
01378,Marine,EXD
01379,Marine,EXD
01380,Marine,EXD
01381,Marine,EXD
01382,Marine,EXD
01383,Marine,EXD
01384,Marine,EXD
01385,Emmanuel,C
01386,Emmanuel,C
01387,Marine,EXD
01388,Marine,EXD
01389,Marine,EXD
01390,Marine,EXD
01391,Marine,EXD
01392,Marine,EXD
01393,Marine,EXD
01396,Marine,EXD
01397,Emmanuel,C
01398,Marine,EXD
01399,Emmanuel,C
01400,Emmanuel,C
01401,Emmanuel,C
01402,Marine,EXD
01403,Marine,EXD
01404,Marine,EXD
01405,Marine,EXD
01406,Marine,EXD
01407,Emmanuel,C
01408,Marine,EXD
01410,Marine,EXD
01411,Marine,EXD
01412,Emmanuel,C
01415,Marine,EXD
01416,Marine,EXD
01418,Emmanuel,C
01419,Emmanuel,C
01420,Marine,EXD
01421,Marine,EXD
01422,Emmanuel,C
01423,Emmanuel,C
01424,Emmanuel,C
01425,Marine,EXD
01426,Marine,EXD
01427,Emmanuel,C
01428,Emmanuel,C
01429,Marine,EXD
01430,Marine,EXD
01431,Marine,EXD
01432,Marine,EXD
01433,Marine,EXD
01434,Marine,EXD
01435,Emmanuel,C
01436,Emmanuel,C
01437,Marine,EXD
01439,Emmanuel,C
01441,Marine,EXD
01443,Marine,EXD
01444,Marine,EXD
01445,Marine,EXD
01446,Marine,EXD
01447,Marine,EXD
01448,Marine,EXD
01449,Marine,EXD
01450,Marine,EXD
01451,Emmanuel,C
01452,Marine,EXD
01453,Marine,EXD
01454,Marine,EXD
01456,Emmanuel,C
01457,Emmanuel,C
02001,Marine,EXD
02002,Marine,EXD
02003,Marine,EXD
02004,Marine,EXD
02005,Marine,EXD
02006,Marine,EXD
02007,Marine,EXD
02008,Marine,EXD
02009,Marine,EXD
02010,Marine,EXD
02011,Marine,EXD
02012,Marine,EXD
02013,Marine,EXD
02014,Marine,EXD
02015,Marine,EXD
02016,Marine,EXD
02017,Marine,EXD
02018,Marine,EXD
02019,Marine,EXD
02020,Marine,EXD
02021,Marine,EXD
02022,Marine,EXD
02023,Marine,EXD
02024,Marine,EXD
02025,Marine,EXD
02027,Marine,EXD
02028,Marine,EXD
02029,Marine,EXD
02030,Marine,EXD
02031,Marine,EXD
02032,Marine,EXD
02033,Marine,EXD
02034,Marine,EXD
02035,Marine,EXD
02036,Marine,EXD
02037,Marine,EXD
02038,Marine,EXD
02039,Marine,EXD
02040,Marine,EXD
02041,Marine,EXD
02042,Marine,EXD
02043,Marine,EXD
02044,Marine,EXD
02046,Marine,EXD
02047,Marine,EXD
02048,Marine,EXD
02049,Marine,EXD
02050,Marine,EXD
02051,Marine,EXD
02052,Marine,EXD
02053,Marine,EXD
02054,Marine,EXD
02055,Marine,EXD
02056,Marine,EXD
02057,Marine,EXD
02058,Marine,EXD
02059,Marine,EXD
02060,Marine,EXD
02061,Marine,EXD
02062,Marine,EXD
02063,Marine,EXD
02064,Marine,EXD
02065,Marine,EXD
02066,Marine,EXD
02067,Marine,EXD
02068,Marine,EXD
02069,Marine,EXD
02070,Marine,EXD
02071,Marine,EXD
02072,Marine,EXD
02073,Marine,EXD
02074,Marine,EXD
02075,Marine,EXD
02076,Marine,EXD
02077,Marine,EXD
02078,Nathalie,EXG
02079,Marine,EXD
02080,Emmanuel,C
02081,Marine,EXD
02082,Marine,EXD
02083,Marine,EXD
02084,Marine,EXD
02085,Marine,EXD
02086,Marine,EXD
02087,Marine,EXD
02088,Marine,EXD
02089,Marine,EXD
02090,Marine,EXD
02091,Emmanuel,C
02093,Nathalie,EXG
02094,Marine,EXD
02095,Marine,EXD
02096,Marine,EXD
02097,Marine,EXD
02098,Marine,EXD
02099,Marine,EXD
02100,Marine,EXD
02101,Marine,EXD
02102,Emmanuel,C
02103,Marine,EXD
02104,Emmanuel,C
02105,Marine,EXD
02106,Marine,EXD
02107,Marine,EXD
02108,Emmanuel,C
02109,Marine,EXD
02110,Marine,EXD
02111,Marine,EXD
02112,Marine,EXD
02114,Marine,EXD
02115,Marine,EXD
02116,Marine,EXD
02117,Marine,EXD
02118,Marine,EXD
02119,Marine,EXD
02120,Marine,EXD
02121,Marine,EXD
02122,Emmanuel,C
02123,Marine,EXD
02124,Marine,EXD
02125,Jean-Luc,EXG
02126,Marine,EXD
02127,Marine,EXD
02128,Marine,EXD
02129,Emmanuel,C
02130,Marine,EXD
02131,Marine,EXD
02132,Emmanuel,C
02133,Marine,EXD
02134,Marine,EXD
02135,Marine,EXD
02136,Marine,EXD
02137,Marine,EXD
02138,Marine,EXD
02139,Marine,EXD
02140,Marine,EXD
02141,Marine,EXD
02142,Marine,EXD
02143,Marine,EXD
02144,Marine,EXD
02145,Marine,EXD
02146,Emmanuel,C
02148,Marine,EXD
02149,Emmanuel,C
02150,Marine,EXD
02151,Emmanuel,C
02152,Marine,EXD
02153,Marine,EXD
02154,Marine,EXD
02155,Emmanuel,C
02156,Marine,EXD
02157,Marine,EXD
02158,Marine,EXD
02159,Marine,EXD
02160,Marine,EXD
02162,Marine,EXD
02163,Marine,EXD
02164,Marine,EXD
02165,Marine,EXD
02166,Marine,EXD
02167,Marine,EXD
02168,Jean-Luc,EXG
02169,Marine,EXD
02170,Marine,EXD
02171,Marine,EXD
02172,Marine,EXD
02173,Marine,EXD
02174,Marine,EXD
02175,Marine,EXD
02176,Marine,EXD
02177,Emmanuel,C
02178,Marine,EXD
02179,Marine,EXD
02180,Marine,EXD
02181,Marine,EXD
02182,Marine,EXD
02183,Marine,EXD
02184,Marine,EXD
02185,Marine,EXD
02186,Marine,EXD
02187,Emmanuel,C
02188,Marine,EXD
02189,Marine,EXD
02190,Marine,EXD
02191,Marine,EXD
02192,Marine,EXD
02193,Marine,EXD
02194,Marine,EXD
02195,Marine,EXD
02196,Marine,EXD
02197,Marine,EXD
02198,Marine,EXD
02199,Marine,EXD
02200,Marine,EXD
02201,Marine,EXD
02203,Marine,EXD
02204,Emmanuel,C
02205,Marine,EXD
02206,Emmanuel,C
02207,Marine,EXD
02208,Marine,EXD
02209,Marine,EXD
02210,Marine,EXD
02211,Marine,EXD
02212,Marine,EXD
02213,Marine,EXD
02214,Marine,EXD
02215,Marine,EXD
02216,Marine,EXD
02217,Marine,EXD
02218,Marine,EXD
02219,Marine,EXD
02220,Marine,EXD
02221,Marine,EXD
02222,Emmanuel,C
02223,Marine,EXD
02224,Marine,EXD
02225,Marine,EXD
02226,Marine,EXD
02227,Marine,EXD
02228,Marine,EXD
02229,Emmanuel,C
02230,Marine,EXD
02231,Marine,EXD
02232,Marine,EXD
02233,Marine,EXD
02234,Marine,EXD
02235,Marine,EXD
02236,Marine,EXD
02237,Marine,EXD
02238,Marine,EXD
02239,Marine,EXD
02240,Marine,EXD
02241,Marine,EXD
02242,Marine,EXD
02243,Marine,EXD
02244,Marine,EXD
02245,Marine,EXD
02246,Marine,EXD
02248,Marine,EXD
02249,Marine,EXD
02250,Marine,EXD
02251,Éric,EXD
02252,Marine,EXD
02253,Marine,EXD
02254,Emmanuel,C
02255,Marine,EXD
02256,Marine,EXD
02257,Marine,EXD
02258,Marine,EXD
02259,Marine,EXD
