Code géographique,Orientation
01001,C
01002,C
01004,D
01005,D
01006,C
01007,D
01008,D
01009,C
01010,D
01011,D
01012,G
01013,D
01014,G
01015,C
01016,D
01017,D
01019,D
01021,D
01022,D
01023,D
01024,D
01025,D
01026,C
01027,D
01028,D
01029,D
01030,D
01031,D
01032,D
01033,G
01034,C
01035,G
01036,C
01037,D
01038,C
01039,D
01040,D
01041,D
01042,C
01043,C
01044,D
01045,D
01046,D
01047,D
01049,C
01050,D
01051,D
01052,C
01053,C
01054,D
01056,D
01057,D
01058,D
01060,C
01061,D
01062,C
01063,C
01064,D
01065,C
01066,G
01067,D
01068,D
01069,D
01071,C
01072,C
01073,C
01074,D
01075,C
01076,D
01077,C
01078,C
01079,C
01080,D
01081,D
01082,D
01083,D
01084,D
01085,D
01087,C
01088,D
01089,D
01090,D
01092,D
01093,C
01094,D
01095,D
01096,D
01098,D
01099,D
01100,D
01101,D
01102,D
01103,C
01104,C
01105,C
01106,D
01107,D
01108,D
01109,C
01110,G
01111,C
01112,D
01113,C
01114,D
01115,D
01116,D
01117,C
01118,D
01121,C
01123,C
01124,D
01125,D
01127,C
01128,D
01129,D
01130,D
01133,D
01134,D
01135,C
01136,D
01138,D
01139,D
01140,D
01141,C
01142,C
01143,C
01145,D
01146,D
01147,D
01148,D
01149,D
01150,G
01151,D
01152,D
01153,C
01155,D
01156,D
01157,C
01158,C
01159,C
01160,C
01162,D
01163,D
01165,D
01166,C
01167,D
01169,D
01170,D
01171,D
01173,C
01174,C
01175,D
01177,G
01179,D
01180,C
01181,D
01183,D
01184,D
01185,D
01187,C
01188,D
01189,D
01190,D
01191,C
01192,D
01193,D
01194,C
01195,C
01196,D
01197,G
01198,C
01199,D
01200,G
01202,D
01203,C
01204,D
01206,D
01207,D
01208,C
01209,D
01210,C
01211,D
01212,D
01213,D
01214,D
01215,D
01216,D
01219,D
01224,D
01225,D
01227,D
01228,D
01229,D
01230,D
01231,C
01232,D
01233,D
01234,D
01235,D
01236,C
01237,D
01238,C
01239,D
01240,D
01241,C
01242,G
01243,C
01244,C
01245,C
01246,C
01247,C
01248,C
01249,C
01250,C
01252,C
01254,C
01255,D
01257,C
01258,D
01259,C
01260,C
01261,C
01262,C
01263,C
01264,D
01265,D
01266,D
01267,D
01268,D
01269,D
01272,D
01273,D
01274,D
01275,C
01276,D
01277,C
01279,D
01280,C
01281,C
01282,D
01283,G
01284,D
01285,C
01286,C
01288,C
01289,C
01290,C
01291,C
01293,D
01294,D
01295,D
01296,D
01297,D
01298,D
01299,D
01301,C
01302,G
01303,D
01304,D
01305,C
01306,D
01307,C
01308,C
01309,D
01310,D
01311,D
01313,C
01314,D
01317,D
01318,C
01319,D
01320,C
01321,C
01322,C
01323,D
01325,D
01328,C
01329,C
01330,G
01331,C
01332,D
01333,D
01334,D
01335,D
01336,C
01337,C
01338,D
01339,C
01342,D
01343,D
01344,C
01345,D
01346,D
01347,C
01348,D
01349,C
01350,C
01351,D
01352,D
01353,C
01354,C
01355,D
01356,C
01357,D
01358,D
01359,D
01360,C
01361,D
01362,D
01363,D
01364,D
01365,C
01366,D
01367,D
01368,D
01369,C
01370,C
01371,D
01372,D
01373,D
01374,D
01375,D
01376,C
01378,D
01379,D
01380,D
01381,D
01382,D
01383,D
01384,D
01385,C
01386,C
01387,D
01388,D
01389,D
01390,D
01391,D
01392,D
01393,D
01396,D
01397,C
01398,D
01399,C
01400,C
01401,C
01402,D
01403,D
01404,D
01405,D
01406,D
01407,C
01408,D
01410,D
01411,D
01412,C
01415,D
01416,D
01418,C
01419,C
01420,D
01421,D
01422,C
01423,C
01424,C
01425,D
01426,D
01427,C
01428,C
01429,D
01430,D
01431,D
01432,D
01433,D
01434,D
01435,C
01436,C
01437,D
01439,C
01441,D
01443,D
