Code géographique,Orientation
01001,C
01002,C
01004,EXD
01005,EXD
01006,C
01007,EXD
01008,EXD
01009,C
01010,EXD
01011,EXD
01012,EXG
01013,EXD
01014,EXG
01015,C
01016,EXD
01017,EXD
01019,EXD
01021,EXD
01022,EXD
01023,EXD
01024,EXD
01025,EXD
01026,C
01027,EXD
01028,EXD
01029,EXD
01030,EXD
01031,EXD
01032,EXD
01033,EXG
01034,C
01035,EXG
01036,C
01037,EXD
01038,C
01039,EXD
01040,EXD
01041,EXD
01042,C
01043,C
01044,EXD
01045,EXD
01046,EXD
01047,EXD
01049,C
01050,EXD
01051,EXD
01052,C
01053,C
01054,EXD
01056,EXD
01057,EXD
01058,EXD
01060,C
01061,EXD
01062,C
01063,C
01064,EXD
01065,C
01066,EXG
01067,EXD
01068,EXD
01069,EXD
01071,C
01072,C
01073,C
01074,EXD
01075,C
01076,EXD
01077,C
01078,C
01079,C
01080,EXD
01081,EXD
01082,EXD
01083,EXD
01084,EXD
01085,EXD
01087,C
01088,EXD
01089,EXD
01090,EXD
01092,EXD
01093,C
01094,EXD
01095,EXD
01096,EXD
01098,EXD
01099,EXD
01100,EXD
01101,EXD
01102,EXD
01103,C
01104,C
01105,C
01106,EXD
01107,EXD
01108,EXD
01109,C
01110,EXG
01111,C
01112,EXD
01113,C
01114,EXD
01115,EXD
01116,EXD
01117,C
01118,EXD
01121,C
01123,C
01124,EXD
01125,EXD
01127,C
01128,EXD
01129,EXD
01130,EXD
01133,EXD
01134,EXD
01135,C
01136,EXD
01138,EXD
01139,EXD
01140,EXD
01141,C
01142,C
01143,C
01145,EXD
01146,EXD
01147,EXD
01148,EXD
01149,EXD
01150,EXG
01151,EXD
01152,EXD
01153,C
01155,EXD
01156,EXD
01157,C
01158,C
01159,C
01160,C
01162,EXD
01163,EXD
01165,EXD
01166,C
01167,EXD
01169,EXD
01170,EXD
01171,EXD
01173,C
01174,C
01175,EXD
01177,EXG
01179,EXD
01180,C
01181,EXD
01183,EXD
01184,EXD
01185,EXD
01187,C
01188,EXD
01189,EXD
01190,EXD
01191,C
01192,EXD
01193,EXD
01194,C
01195,C
01196,EXD
01197,EXG
01198,C
01199,EXD
01200,EXG
01202,EXD
01203,C
01204,EXD
01206,EXD
01207,EXD
01208,C
01209,EXD
01210,C
01211,EXD
01212,EXD
01213,EXD
01214,EXD
01215,EXD
01216,EXD
01219,EXD
01224,EXD
01225,EXD
01227,EXD
01228,EXD
01229,EXD
01230,EXD
01231,C
01232,EXD
01233,EXD
01234,EXD
01235,EXD
01236,C
01237,EXD
01238,C
01239,EXD
01240,EXD
01241,C
01242,EXG
01243,C
01244,C
01245,C
01246,C
01247,C
01248,C
01249,C
01250,C
01252,C
01254,C
01255,EXD
01257,C
01258,EXD
01259,C
01260,C
01261,C
01262,C
01263,C
01264,EXD
01265,EXD
01266,EXD
01267,EXD
01268,EXD
01269,EXD
01272,EXD
01273,EXD
01274,EXD
01275,C
01276,EXD
01277,C
01279,EXD
01280,C
01281,C
01282,EXD
01283,EXG
01284,EXD
01285,C
01286,C
01288,C
01289,C
01290,C
01291,C
01293,EXD
01294,EXD
01295,EXD
01296,EXD
01297,EXD
01298,EXD
01299,EXD
01301,C
01302,EXG
01303,EXD
01304,EXD
01305,C
01306,EXD
01307,C
01308,C
01309,EXD
01310,EXD
01311,EXD
01313,C
01314,EXD
01317,EXD
01318,C
01319,EXD
01320,C
01321,C
01322,C
01323,EXD
01325,EXD
01328,C
01329,C
01330,EXG
01331,C
01332,EXD
01333,EXD
01334,EXD
01335,EXD
01336,C
01337,C
01338,EXD
01339,C
01342,EXD
01343,EXD
01344,C
01345,EXD
01346,EXD
01347,C
01348,EXD
01349,C
01350,C
01351,EXD
01352,EXD
01353,C
01354,C
01355,EXD
01356,C
