Code géographique,Médiane du niveau vie (€)
01001,25820
01002,24480
01004,21660
01005,24610
01006,24210
01007,24860
01008,26300
01009,24810
01010,24700
01011,24530
01012,24270
01013,22180
01014,22410
01015,23800
01016,23080
01017,20790
01019,s
01021,26430
01022,22000
01023,s
01024,24460
01025,24880
01026,22860
01027,25770
01028,25520
01029,21350
01030,24240
01031,20550
01032,23060
01033,23780
01034,21180
01035,26160
01036,23820
01037,21770
01038,24250
01040,23440
01041,25150
01042,25520
01043,28730
01044,28550
01045,28180
01046,24260
01047,27110
01049,26780
01050,23180
01051,s
01052,27630
01053,20210
01054,27320
01056,21640
01057,24300
01058,23420
01060,24970
01061,25110
01062,28710
01063,25400
01064,23440
01065,26810
01066,s
01067,25900
01068,21410
01069,25570
01071,42540
01072,25320
01073,25250
01074,23720
01075,24890
01076,21070
01077,24620
01078,44460
01079,22770
01080,23720
01081,27400
01082,27880
01083,25580
01084,24050
01085,26330
01087,27320
01088,28140
01089,25170
01090,24090
01092,25470
01093,23430
01094,23460
01095,23260
01096,23940
01098,22520
01099,26780
01100,21090
01101,26800
01102,23750
01103,44010
01104,25230
01105,28920
01106,23440
01107,22370
01108,23750
01109,33820
01110,20800
01111,21730
01112,25520
01113,23170
01114,30140
01115,24350
01116,23210
01117,22900
01118,27120
01121,24470
01123,25480
01124,23440
01125,24010
01127,24080
01128,22520
01129,26820
01130,24120
01133,23660
01134,24310
01135,44040
01136,25850
01138,21730
01139,19790
01140,26220
01141,25670
01142,25320
01143,46650
01145,24100
01146,24550
01147,21490
01148,23960
01149,27910
01150,23580
01151,24570
01152,28070
01153,49930
01155,23720
01156,26730
01157,27070
01158,37990
01159,24360
01160,27220
01162,s
01163,23810
01165,26140
01166,27060
01167,24530
01169,25500
01170,24070
01171,25370
01173,35280
01174,26560
01175,22580
01177,24680
01179,24460
01180,55340
01181,25220
01183,25240
01184,24580
01185,23080
01187,23000
01188,24070
01189,28040
01190,s
01191,24140
01192,23500
01193,23870
01194,24030
01195,25630
01196,23020
01197,25780
01198,25480
01199,23050
01200,23480
01202,23820
01203,24820
01204,25910
01206,24700
01207,27830
01208,22170
01209,31670
01210,24020
01211,24780
01212,22570
01213,24160
01214,26540
01215,23850
01216,24130
01219,22500
01224,23420
01225,28430
01227,25450
01228,26830
01229,24580
01230,21030
01231,25260
01232,24540
01233,24140
01234,23750
01235,22870
01236,24430
01237,24590
01238,28590
01239,23900
01240,24660
01241,26000
01242,20070
01243,27580
01244,24890
01245,25140
01246,23740
