Code géographique,Taux de pauvreté-Ensemble (%)
01001,s
01002,s
01004,"17,0"
01005,s
01006,s
01007,s
01008,s
01009,s
01010,s
01011,s
01012,s
01013,s
01014,"13,0"
01015,s
01016,s
01017,s
01019,s
01021,s
01022,s
01023,s
01024,"7,0"
01025,"6,0"
01026,s
01027,s
01028,s
01029,s
01030,s
01031,"20,0"
01032,"8,0"
01033,"17,0"
01034,"18,0"
01035,s
01036,s
01037,s
01038,s
01040,s
01041,s
01042,s
01043,"6,0"
01044,s
01045,s
01046,s
01047,s
01049,s
01050,s
01051,s
01052,s
01053,"24,0"
01054,s
01056,s
01057,s
01058,s
01060,s
01061,s
01062,s
01063,s
01064,s
01065,s
01066,s
01067,s
01068,s
01069,s
01071,"7,0"
01072,"7,0"
01073,s
01074,"11,0"
01075,s
01076,s
01077,s
01078,s
01079,s
01080,s
01081,s
01082,s
01083,s
01084,s
01085,s
01087,s
01088,s
01089,s
01090,s
01092,s
01093,"10,0"
01094,s
01095,s
01096,s
01098,s
01099,s
01100,s
01101,s
01102,s
01103,s
01104,s
01105,s
01106,s
01107,s
01108,s
01109,"11,0"
01110,s
01111,s
01112,s
01113,s
01114,s
01115,s
01116,s
01117,s
01118,s
01121,s
01123,s
01124,s
01125,s
01127,s
01128,s
01129,s
01130,s
01133,s
01134,s
01135,"10,0"
01136,s
01138,"13,0"
01139,s
01140,s
01141,s
01142,"9,0"
01143,"8,0"
01145,s
01146,s
01147,s
01148,s
01149,s
01150,s
01151,s
01152,s
01153,s
01155,s
01156,s
01157,s
01158,s
01159,"6,0"
01160,"23,0"
01162,s
01163,s
01165,s
01166,s
01167,s
01169,s
01170,s
01171,s
01173,"10,0"
01174,s
01175,s
01177,s
01179,s
01180,s
01181,s
01183,s
01184,s
01185,"11,0"
01187,s
01188,s
01189,s
01190,s
01191,s
01192,s
01193,s
01194,"11,0"
01195,s
01196,s
01197,s
01198,s
01199,"12,0"
01200,s
01202,"10,0"
01203,s
01204,s
01206,s
01207,s
01208,s
01209,s
01210,s
01211,s
01212,s
01213,s
01214,s
01215,s
01216,s
01219,s
01224,"8,0"
01225,s
01227,s
01228,s
01229,s
01230,s
01231,s
01232,s
01233,s
01234,s
01235,s
01236,s
01237,s
01238,s
01239,s
01240,s
01241,s
01242,s
01243,s
01244,"9,0"
01245,s
01246,"9,0"
01247,s
01248,s
01249,"9,0"
01250,s
01252,s
01254,s
01255,s
01257,s
01258,s
01259,s
01260,s
01261,s
01262,"13,0"
01263,"6,0"
01264,s
01265,"17,0"
01266,"11,0"
01267,s
01268,s
01269,"30,0"
01272,s
01273,s
01274,s
01275,s
01276,s
01277,s
01279,s
01280,s
01281,"16,0"
01282,s
01283,"28,0"
01284,s
01285,s
01286,s
01288,s
01289,"10,0"
01290,s
01291,s
01293,s
01294,s
01295,s
01296,s
01297,s
01298,s
01299,s
01301,s
01302,s
01303,s
01304,"13,0"
01305,"15,0"
01306,s
01307,s
01308,s
01309,s
01310,s
01311,s
01313,"13,0"
01314,s
01317,s
01318,s
01319,s
01320,"6,0"
01321,s
01322,"5,0"
01323,s
01325,s
01328,s
01329,s
01330,s
01331,s
01332,s
01333,s
01334,s
01335,s
01336,s
01337,s
01338,s
01339,s
01342,s
01343,s
01344,"8,0"
01345,"10,0"
01346,s
01347,s
01348,"8,0"
01349,s
01350,s
01351,s
01352,s
01353,s
01354,"18,0"
01355,s
01356,s
01357,s
01358,s
01359,s
01360,s
01361,s
01362,s
01363,s
01364,s
01365,s
01366,s
01367,s
01368,s
